id,site,identifiant
dc18e978-7d17-4d05-ac8e-678a609fbcc7,1,1375
dc18e978-7d17-4d05-ac8e-678a609fbcc7,2,tt0100507
6e76b203-3e19-4f72-9980-92752d48809a,1,744
6e76b203-3e19-4f72-9980-92752d48809a,2,tt0092099
8a973d17-fccf-4240-8157-573db91eaa6c,1,1374
8a973d17-fccf-4240-8157-573db91eaa6c,2,tt0089927
cb500bc6-ef03-4205-86fe-33d0c6d2ec11,1,10439
cb500bc6-ef03-4205-86fe-33d0c6d2ec11,2,tt0107120
0855b28a-f73d-4302-8d48-2a2353d08321,1,96
0855b28a-f73d-4302-8d48-2a2353d08321,2,tt0092644
eaf58060-210e-465a-92e4-eed803451813,1,11415
eaf58060-210e-465a-92e4-eed803451813,2,tt0091223
e90836cf-cc5f-477d-9ca1-a44f1bd95abf,1,1370
e90836cf-cc5f-477d-9ca1-a44f1bd95abf,2,tt0095956
520d36be-24be-4e74-857d-c27b2f9e1f83,1,5548
520d36be-24be-4e74-857d-c27b2f9e1f83,2,tt0093870
a09cc505-1e03-49ec-9500-63478944a532,1,11183
a09cc505-1e03-49ec-9500-63478944a532,2,tt0077276
43cf3e92-abba-4b8a-aaeb-b9b124458ea3,1,4032
43cf3e92-abba-4b8a-aaeb-b9b124458ea3,2,tt0102492
bb73a806-7713-47b3-8355-b4151511a743,1,3980
bb73a806-7713-47b3-8355-b4151511a743,2,tt0090887
4d53ce95-43bf-4cfa-9f09-4f1520a006ed,1,11133
4d53ce95-43bf-4cfa-9f09-4f1520a006ed,2,tt0091778
fe63a509-ad1d-4960-b4a9-b704a6aa9ea0,1,166
fe63a509-ad1d-4960-b4a9-b704a6aa9ea0,2,tt0082100
d765d21d-1675-46ad-a107-13461fc86157,1,12088
d765d21d-1675-46ad-a107-13461fc86157,2,tt0106950
51fecd44-437f-490e-9bcd-e3a386e95932,1,19123
51fecd44-437f-490e-9bcd-e3a386e95932,2,tt0082183
33569568-7c3e-4baa-84a8-cae15dca2350,1,33701
33569568-7c3e-4baa-84a8-cae15dca2350,2,tt0078907
540ef20e-292e-49ec-b2c4-584501eef931,1,8736
540ef20e-292e-49ec-b2c4-584501eef931,2,tt0456123
6931e7d6-7d10-4454-8101-3a11734fbdfd,1,12715
6931e7d6-7d10-4454-8101-3a11734fbdfd,2,tt0091055
f851fa63-1c5d-473d-9405-375675a20771,1,9659
f851fa63-1c5d-473d-9405-375675a20771,2,tt0079501
